asset,period,start_date,end_date,plan,invested,ending_value,gain,return_on_invested,annualized_return_on_invested
30-stock strategy,1m,2026-03-09,2026-04-08,lump_sum,1000000.0,1012534.982594904,12534.982594904024,0.012534982594904024,0.163770108625247
30-stock strategy,1m,2026-03-09,2026-04-08,monthly,40000.0,41496.8881327089,1496.8881327088966,0.03742220331772241,0.5640789949991794
30-stock strategy,3m,2026-01-08,2026-04-08,lump_sum,1000000.0,1039165.6472842267,39165.647284226725,0.03916564728422672,0.1687251896513844
30-stock strategy,3m,2026-01-08,2026-04-08,monthly,80000.0,82605.34987332959,2605.3498733295855,0.03256687341661982,0.13889751743421064
30-stock strategy,1y,2025-04-08,2026-04-08,lump_sum,1000000.0,1526971.9588190424,526971.9588190424,0.5269719588190425,0.5274147263316658
30-stock strategy,1y,2025-04-08,2026-04-08,monthly,260000.0,310276.1187655754,50276.118765575404,0.1933696875599054,0.19351419292319205
30-stock strategy,3y,2023-04-10,2026-04-08,lump_sum,1000000.0,1667281.585253536,667281.585253536,0.667281585253536,0.1861001538038416
30-stock strategy,3y,2023-04-10,2026-04-08,monthly,740000.0,987965.7095386304,247965.70953863044,0.3350887966738249,0.10129493192314687
30-stock strategy,5y,2021-04-08,2026-04-08,lump_sum,1000000.0,2036483.8860008207,1036483.8860008207,1.0364838860008208,0.15288145549587195
30-stock strategy,5y,2021-04-08,2026-04-08,monthly,1220000.0,1847598.1711449062,627598.1711449062,0.5144247304466444,0.0865619041155592
30-stock strategy,full,2016-06-01,2026-04-08,lump_sum,1000000.0,5775000.779489896,4775000.779489896,4.775000779489896,0.19483724213529596
30-stock strategy,full,2016-06-01,2026-04-08,monthly,2380000.0,6204356.261564428,3824356.261564428,1.6068723788085832,0.10215401310504468
0050 benchmark,1m,2026-03-09,2026-04-08,lump_sum,1000000.0,1030579.0308494596,30579.03084945958,0.030579030849459583,0.4429950705635024
0050 benchmark,1m,2026-03-09,2026-04-08,monthly,40000.0,42505.15314458815,2505.1531445881483,0.0626288286147037,1.095057303460862
0050 benchmark,3m,2026-01-08,2026-04-08,lump_sum,1000000.0,1149861.829189242,149861.8291892421,0.1498618291892421,0.7624641540840151
0050 benchmark,3m,2026-01-08,2026-04-08,monthly,80000.0,86228.397931045,6228.397931044994,0.07785497413806243,0.3556284470468223
0050 benchmark,1y,2025-04-08,2026-04-08,lump_sum,1000000.0,2060507.406313716,1060507.406313716,1.0605074063137159,1.0615279661606545
0050 benchmark,1y,2025-04-08,2026-04-08,monthly,260000.0,378102.74343278597,118102.74343278597,0.45424132089533065,0.45461437599372356
0050 benchmark,3y,2023-04-10,2026-04-08,lump_sum,1000000.0,2853820.298631704,1853820.298631704,1.853820298631704,0.41922650374814907
0050 benchmark,3y,2023-04-10,2026-04-08,monthly,740000.0,1454498.4055013193,714498.4055013193,0.9655383858125937,0.25309403974800326
0050 benchmark,5y,2021-04-08,2026-04-08,lump_sum,1000000.0,2671982.849794408,1671982.8497944078,1.6719828497944078,0.2172461817412057
0050 benchmark,5y,2021-04-08,2026-04-08,monthly,1220000.0,2813299.5313563277,1593299.5313563277,1.3059832224232195,0.1819011751343167
0050 benchmark,full,2016-06-01,2026-04-08,lump_sum,1000000.0,6965569.226312299,5965569.226312299,5.965569226312299,0.21779030790168474
0050 benchmark,full,2016-06-01,2026-04-08,monthly,2380000.0,8520979.673823096,6140979.673823096,2.580243560429872,0.13823067473058548
